遥信(DI)描述,遥测(AI)描述,遥测(AI)乘法因子,遥测(AI)偏移量,遥控(DO)描述,遥控(DO)限定词：0-未指定；1-短脉冲；2-长脉冲；3-持续,遥控(DO)类型：0-选择执行；1-立即执行,遥调(AO)描述,累计量(CI)描述
遥信(DI)#1,遥测(AI)#1,1,-10000,遥控(DO)#1,2,1,遥调(AO)#1,累计量(CI)#1
遥信(DI)#2,遥测(AI)#2,2,-9999,遥控(DO)#2,2,1,遥调(AO)#2,累计量(CI)#2
遥信(DI)#3,遥测(AI)#3,3,-9998,遥控(DO)#3,2,1,遥调(AO)#3,累计量(CI)#3
遥信(DI)#4,遥测(AI)#4,4,-9997,遥控(DO)#4,2,1,遥调(AO)#4,累计量(CI)#4
遥信(DI)#5,遥测(AI)#5,5,-9996,遥控(DO)#5,2,1,遥调(AO)#5,累计量(CI)#5
遥信(DI)#6,遥测(AI)#6,6,-9995,遥控(DO)#6,2,1,遥调(AO)#6,累计量(CI)#6
遥信(DI)#7,遥测(AI)#7,7,-9994,遥控(DO)#7,2,1,遥调(AO)#7,累计量(CI)#7
遥信(DI)#8,遥测(AI)#8,8,-9993,遥控(DO)#8,2,1,遥调(AO)#8,累计量(CI)#8
遥信(DI)#9,遥测(AI)#9,9,-9992,遥控(DO)#9,2,1,遥调(AO)#9,累计量(CI)#9
遥信(DI)#10,遥测(AI)#10,10,-9991,遥控(DO)#10,2,1,遥调(AO)#10,累计量(CI)#10
遥信(DI)#11,遥测(AI)#11,11,-9990,遥控(DO)#11,2,1,遥调(AO)#11,累计量(CI)#11
遥信(DI)#12,遥测(AI)#12,12,-9989,遥控(DO)#12,2,1,遥调(AO)#12,累计量(CI)#12
遥信(DI)#13,遥测(AI)#13,13,-9988,遥控(DO)#13,2,1,遥调(AO)#13,累计量(CI)#13
遥信(DI)#14,遥测(AI)#14,14,-9987,遥控(DO)#14,2,1,遥调(AO)#14,累计量(CI)#14
遥信(DI)#15,遥测(AI)#15,15,-9986,遥控(DO)#15,2,1,遥调(AO)#15,累计量(CI)#15
遥信(DI)#16,遥测(AI)#16,16,-9985,遥控(DO)#16,2,1,遥调(AO)#16,累计量(CI)#16
遥信(DI)#17,遥测(AI)#17,17,-9984,遥控(DO)#17,2,1,遥调(AO)#17,累计量(CI)#17
遥信(DI)#18,遥测(AI)#18,18,-9983,遥控(DO)#18,2,1,遥调(AO)#18,累计量(CI)#18
遥信(DI)#19,遥测(AI)#19,19,-9982,遥控(DO)#19,2,1,遥调(AO)#19,累计量(CI)#19
遥信(DI)#20,遥测(AI)#20,20,-9981,遥控(DO)#20,2,1,遥调(AO)#20,累计量(CI)#20
